date,open,close,high,low,volume,money
2007-04-12,3503.23,3531.03,3532.86,3488.08,13538987900,1.48E+11
2007-04-13,3537.22,3518.27,3563.86,3504.16,15069587600,1.66E+11
2007-04-16,3523.22,3596.44,3597.22,3523.22,13103910100,1.46E+11
2007-04-17,3611.63,3611.87,3622.89,3510.5,16066064600,1.76E+11
2007-04-18,3614.68,3612.4,3623.87,3564.23,15048542400,1.67E+11
2007-04-19,3610.02,3449.02,3617.44,3358.93,17272554100,1.88E+11
2007-04-20,3460.9,3584.2,3591.46,3460.9,13888929200,1.56E+11
2007-04-23,3615.79,3710.89,3710.89,3615.79,16349811600,1.83E+11
2007-04-24,3736.15,3720.53,3762.39,3689.13,17438934100,2.04E+11
2007-04-25,3708.57,3743.96,3769.25,3653.99,15176306100,1.75E+11
2007-04-26,3766.48,3783.06,3784.68,3732.6,11725696800,1.42E+11
2007-04-27,3788.75,3759.87,3802.92,3720.6,13217545600,1.63E+11
2007-04-30,3784.27,3841.27,3851.35,3759.48,14652571300,1.86E+11
2007-05-08,3937.94,3950.01,3964.71,3901.33,16056820000,2.05E+11
2007-05-09,3961.1,4013.09,4015.22,3875.38,20839744900,2.55E+11
2007-05-10,4021.42,4049.7,4072.14,3991.48,17111394000,2.08E+11
2007-05-11,4024.42,4021.68,4039.67,3949.37,14063821000,1.83E+11
2007-05-14,3970.66,4046.39,4081.43,3940.36,13932622100,1.85E+11
2007-05-15,4055.83,3899.18,4069.85,3891.36,15667755300,2.05E+11
2007-05-16,3890.81,3986.04,3987.41,3845.23,13171977400,1.72E+11
2007-05-17,4002.49,4048.29,4064.28,3982.99,13927798800,1.88E+11
2007-05-18,4041.39,4030.26,4052.1,3999.16,13075627400,1.74E+11
2007-05-21,3902.35,4072.22,4083.42,3892.97,15617106200,2.10E+11
2007-05-22,4091.14,4110.38,4136.63,4086.82,17356209000,2.33E+11
2007-05-23,4125.43,4173.71,4175.44,4093.91,16139947800,2.19E+11
2007-05-24,4188.68,4151.13,4208.39,4089.39,18098438800,2.52E+11
2007-05-25,4133.19,4179.78,4190.47,4111.26,15419286000,2.21E+11
2007-05-28,4221.58,4272.11,4283.93,4215.24,17861517400,2.58E+11
2007-05-29,4288.98,4334.92,4335.96,4262.02,17209764200,2.49E+11
2007-05-30,4087.41,4053.09,4275.24,4015.51,18559672900,2.71E+11
2007-05-31,4006.28,4109.65,4178.11,3858.04,17311531200,2.40E+11
2007-06-01,4120.63,4000.74,4181.28,3966.98,16093498500,2.28E+11
2007-06-04,3981.82,3670.4,3987.27,3659.09,11485935700,1.46E+11
2007-06-05,3564.43,3767.1,3768.56,3404.15,15713795900,1.79E+11
2007-06-06,3781.38,3776.32,3821.7,3682.79,14587385200,1.75E+11
2007-06-07,3787.7,3890.8,3891.4,3779.5,14236647500,1.78E+11
2007-06-08,3900.03,3913.14,3935.79,3852.05,13587719200,1.79E+11
2007-06-11,3942.01,3995.68,4000.42,3930.74,13384273900,1.79E+11
2007-06-12,4011.68,4072.14,4073.18,3910,14947239800,2.05E+11
2007-06-13,4110.74,4176.48,4193.45,4102.04,16694849900,2.20E+11
2007-06-14,4162.21,4115.21,4179.73,4085.78,13838560400,1.86E+11
2007-06-15,4085.66,4132.87,4152.54,4067.36,10866553200,1.52E+11
2007-06-18,4195.39,4253.35,4267.74,4193.31,12897774800,1.82E+11
2007-06-19,4247.74,4269.52,4280.85,4209.57,12458181400,1.79E+11
2007-06-20,4269.45,4181.32,4312,4164.27,13521277500,1.92E+11
2007-06-21,4170.89,4230.82,4256.54,4147.05,11291985600,1.62E+11
